,match_url
178,/matches/2341853/keep-the-comms-up-vs-new-england-whalers-winners-league-season-4-north-america
179,/matches/2341813/mythic-vs-warriors-international-esea-mdl-season-34-north-america
180,/matches/2341811/new-england-whalers-vs-blood-sweat-and-tears-esea-mdl-season-34-north-america
181,/matches/2341814/aa-vs-recon-5-esea-mdl-season-34-north-america
182,/matches/2341812/oceanus-vs-buffdaddys-paypal-esea-mdl-season-34-north-america
183,/matches/2341852/chaos-vs-triumph-winners-league-season-4-north-america
184,/matches/2341688/mibr-vs-geng-blast-premier-spring-2020-americas-showdown
185,/matches/2341686/100-thieves-vs-triumph-blast-premier-spring-2020-americas-showdown
186,/matches/2341685/evil-geniuses-vs-cloud9-blast-premier-spring-2020-americas-showdown
187,/matches/2341810/big-frames-vs-buffdaddys-paypal-esea-mdl-season-34-north-america
188,/matches/2341769/nemiga-vs-skade-hellcase-cup-8
189,/matches/2341878/fate-vs-c0ntact-home-sweet-home-cup-7
190,/matches/2341871/elites-vs-movistar-riders-esl-european-championship-2020
191,/matches/2341870/sprout-vs-endpoint-esl-european-championship-2020
192,/matches/2341700/astralis-vs-vitality-blast-premier-spring-2020-europe-showdown
193,/matches/2341829/izako-boars-vs-big-academy-winners-league-season-4-europe
194,/matches/2341698/fnatic-vs-mousesports-blast-premier-spring-2020-europe-showdown
195,/matches/2341861/tenerife-titans-vs-9ine-esl-european-championship-2020
196,/matches/2341860/heretics-vs-ago-esl-european-championship-2020
197,/matches/2341696/nip-vs-ence-blast-premier-spring-2020-europe-showdown
198,/matches/2341873/hard-legion-vs-c0ntact-home-sweet-home-cup-7
199,/matches/2341865/pro100-vs-nordavind-esea-mdl-season-34-europe
200,/matches/2341767/skade-vs-sinners-hellcase-cup-8
201,/matches/2341828/kova-vs-arg-winners-league-season-4-europe
202,/matches/2341864/pact-vs-endpoint-esea-mdl-season-34-europe
203,/matches/2341695/dignitas-vs-virtuspro-blast-premier-spring-2020-europe-showdown
204,/matches/2341863/pro100-vs-movistar-riders-esea-mdl-season-34-europe
205,/matches/2341053/renegades-vs-chiefs-dreamhack-masters-spring-2020-oceania
206,/matches/2341694/ence-vs-saw-blast-premier-spring-2020-europe-showdown
207,/matches/2341872/fate-vs-smash-home-sweet-home-cup-7
208,/matches/2341858/mako-vs-overt-esea-mdl-season-34-australia
209,/matches/2341838/c0ntact-vs-smash-home-sweet-home-cup-7
210,/matches/2341857/forbidden-vs-rooster-esea-mdl-season-34-australia
211,/matches/2341052/order-vs-avant-dreamhack-masters-spring-2020-oceania
212,/matches/2341837/hard-legion-vs-fate-home-sweet-home-cup-7
213,/matches/2341854/recon-5-vs-blood-sweat-and-tears-esea-mdl-season-34-north-america
214,/matches/2341851/rbg-vs-polar-ace-winners-league-season-4-north-america
215,/matches/2341808/keep-the-comms-up-vs-oceanus-esea-mdl-season-34-north-america
216,/matches/2341850/swedish-canadians-vs-morning-light-winners-league-season-4-north-america
217,/matches/2341807/aa-vs-polar-ace-esea-mdl-season-34-north-america
218,/matches/2341849/yeah-vs-teamone-winners-league-season-4-north-america
219,/matches/2341683/mibr-vs-chaos-blast-premier-spring-2020-americas-showdown
220,/matches/2341806/new-england-whalers-vs-big-frames-esea-mdl-season-34-north-america
221,/matches/2341682/furia-vs-geng-blast-premier-spring-2020-americas-showdown
222,/matches/2341681/triumph-vs-cloud9-blast-premier-spring-2020-americas-showdown
223,/matches/2341768/sinners-vs-nemiga-hellcase-cup-8
224,/matches/2341847/movistar-riders-vs-endpoint-esl-european-championship-2020
225,/matches/2341859/honoris-vs-complexity-home-sweet-home-cup-7
226,/matches/2341848/sprout-vs-elites-esl-european-championship-2020
227,/matches/2341693/mad-lions-vs-dignitas-blast-premier-spring-2020-europe-showdown
228,/matches/2341805/hellraisers-vs-hard-legion-sector-mostbet-season-3
229,/matches/2341690/vitality-vs-nip-blast-premier-spring-2020-europe-showdown
230,/matches/2341766/skade-vs-secret-hellcase-cup-8
231,/matches/2341845/tenerife-titans-vs-heretics-esl-european-championship-2020
232,/matches/2341846/ago-vs-9ine-esl-european-championship-2020
233,/matches/2341799/pro100-vs-singularity-esea-mdl-season-34-europe
234,/matches/2341687/mad-lions-vs-virtuspro-blast-premier-spring-2020-europe-showdown
235,/matches/2341856/nordavind-vs-complexity-home-sweet-home-cup-7
236,/matches/2341050/vici-vs-lucid-dream-dreamhack-masters-spring-2020-asia
237,/matches/2341684/nip-vs-saw-blast-premier-spring-2020-europe-showdown
238,/matches/2341796/alternate-attax-vs-movistar-riders-esea-mdl-season-34-europe
239,/matches/2341679/fnatic-vs-virtuspro-blast-premier-spring-2020-europe-showdown
240,/matches/2341855/budapest-five-vs-honoris-home-sweet-home-cup-7
241,/matches/2341801/skade-vs-spirit-esea-mdl-season-34-europe
242,/matches/2341797/pact-vs-spirit-esea-mdl-season-34-europe
243,/matches/2341048/tyloo-vs-beyond-dreamhack-masters-spring-2020-asia
244,/matches/2341825/order-vs-overt-esea-mdl-season-34-australia
245,/matches/2341836/complexity-vs-honoris-home-sweet-home-cup-7
246,/matches/2341835/nordavind-vs-budapest-five-home-sweet-home-cup-7
247,/matches/2341820/warriors-international-vs-infinity-winners-league-season-4-north-america
248,/matches/2341819/big-frames-vs-under-21-winners-league-season-4-north-america
249,/matches/2341678/evil-geniuses-vs-100-thieves-blast-premier-spring-2020-americas-showdown
250,/matches/2341676/chaos-vs-geng-blast-premier-spring-2020-americas-showdown
251,/matches/2341674/furia-vs-mibr-blast-premier-spring-2020-americas-showdown
252,/matches/2341420/secret-vs-nemiga-hellcase-cup-8
253,/matches/2341843/alternate-attax-vs-illuminar-home-sweet-home-cup-8-closed-qualifier
254,/matches/2341677/astralis-vs-saw-blast-premier-spring-2020-europe-showdown
255,/matches/2341675/fnatic-vs-mad-lions-blast-premier-spring-2020-europe-showdown
256,/matches/2341419/skade-vs-sinners-hellcase-cup-8
257,/matches/2341680/astralis-vs-nip-blast-premier-spring-2020-europe-showdown
258,/matches/2341822/illuminar-vs-avez-home-sweet-home-cup-8-closed-qualifier
259,/matches/2341673/mousesports-vs-dignitas-blast-premier-spring-2020-europe-showdown
260,/matches/2341823/alternate-attax-vs-cr4zy-home-sweet-home-cup-8-closed-qualifier
